,name,category,price,reference_price,reference_unit,insert_date,subcategoria
17958,CASTILLO DE VELASCO vino tinto garrafa 2 lt,alcoholicas,2.6,1.3,l,2023-01-19,sangrias
17959,VIÑA ALBALI vino tinto gran reserva DO Valdepeñas botella 75 cl,,5.85,7.8,l,2023-01-19,vino_tinto
17960,DIA tinto de verano clásico botella 1.5 lt,alcoholicas,1.29,0.86,l,2023-01-19,sangrias
17961,LA CASERA tinto de verano limón botella 1.5 lt,alcoholicas,2.29,1.53,l,2023-01-19,sangrias
17962,DIA tinto de verano con limón botella 1.5 lt,alcoholicas,1.29,0.86,l,2023-01-19,sangrias
17963,FREIXENET cava semiseco carta nevada botella 75 cl,alcoholicas,5.4,7.2,l,2023-01-19,destilados_licores
17964,DANTE vino rosado lambrusco botella 75 cl,alcoholicas,2.29,3.05,l,2023-01-19,destilados_licores
17965,BLUME vino blanco joven DO Rueda botella 75 cl,,4.99,6.65,l,2023-01-19,vino_blanco
17966,VIÑA ALBALI vino tinto crianza DO Valdepeñas botella 75 cl,,3.19,4.25,l,2023-01-19,vino_tinto
17967,EL COTO vino tinto crianza DO Rioja botella 75 cl,,6.15,8.2,l,2023-01-19,vino_tinto
17968,SANGRE DE TORO vino tinto DO Cataluña botella  75 cl,,5.25,7.0,l,2023-01-19,vino_tinto
17969,BARCELO ron añejo botella 70 cl,alcoholicas,14.39,20.56,l,2023-01-19,destilados_licores
17970,SINGULAR vino fino DO Montilla Moriles botella 75 cl,alcoholicas,2.4,3.2,l,2023-01-19,destilados_licores
17971,BRUGAL ron añejo botella 70 cl,alcoholicas,14.19,20.27,l,2023-01-19,destilados_licores
17972,CASTILLO DE ALBAI vino tinto DO Rioja botella 75 cl,,3.79,5.05,l,2023-01-19,vino_tinto
17973,CHIVAS whisky 12 años botella 70 cl,alcoholicas,26.99,38.56,l,2023-01-19,destilados_licores
17974,DEWARS whisky white label botella 70 cl,alcoholicas,12.99,18.56,l,2023-01-19,destilados_licores
17975,FAUSTINO RIVERO ULECIA vino tinto crianza DO Rioja botella 75 cl,,4.8,6.4,l,2023-01-19,vino_tinto
17976,BOMBAY Original ginebra london dry botella 70 cl,alcoholicas,12.99,18.56,l,2023-01-19,destilados_licores
17977,BACARDI ron blanco superior botella 70 cl,alcoholicas,12.59,17.99,l,2023-01-19,destilados_licores
17978,CASTILLO DE SAN DIEGO BARBADILLO vino blanco de la tierra  botella 75 cl,,4.75,6.33,l,2023-01-19,vino_blanco
17979,PASSPORT whisky botella 70 cl,alcoholicas,11.29,16.13,l,2023-01-19,destilados_licores
17980,LARIOS 12 ginebra botella 70 cl,alcoholicas,13.89,19.84,l,2023-01-19,destilados_licores
17981,MAYOR DE CASTILLA vino tinto roble DO Ribera del Duero botella 75 cl ,,4.99,6.65,l,2023-01-19,vino_tinto
17982,ANTAÑO vino tinto crianza DO Rioja botella 75 cl,,4.99,6.65,l,2023-01-19,vino_tinto
17983,BAJOZ vino tinto DO Toro botella 75 cl,,4.55,6.07,l,2023-01-19,vino_tinto
17984,MIKANOFF vodka con sabor a caramelo botella 70 cl,alcoholicas,5.5,7.86,l,2023-01-19,destilados_licores
17985,TORRES brandy 5 solera reserva botella 70 cl,alcoholicas,10.5,15.0,l,2023-01-19,destilados_licores
17986,PESCADOR CASTILLO DE PERELADA vino blanco botella 75 cl ,alcoholicas,4.25,5.67,l,2023-01-19,sangrias
17987,ABADIA DA COVA licor de café botella 70 cl,alcoholicas,9.95,14.21,l,2023-01-19,destilados_licores
17988,SOLELL DE FLIX vino blanco semidulce DO Penedés botella 75 cl,,2.69,3.59,l,2023-01-19,vino_blanco
17989,CAMPO VIEJO vino tinto cvc DO Rioja botella 75 cl,,4.29,5.72,l,2023-01-19,vino_tinto
17990,MARQUES DE CACERES vino tinto crianza DO Rioja botella 75 cl,,6.99,9.32,l,2023-01-19,vino_tinto
17991,SEÑORÍO DE ONDAS vino rosado DO Rioja botella 75 cl,,2.45,3.27,l,2023-01-19,vino_rosado
17992,PROTOS vino tinto roble DO Ribera de Duero botella 75 cl,,8.99,11.99,l,2023-01-19,vino_tinto
17993,PROTOS vino blanco verdejo DO Rueda botella 75 cl,,7.2,9.6,l,2023-01-19,vino_blanco
17994,BORSAO vino tinto DO Campo de Borja botella 75 cl,,2.89,3.85,l,2023-01-19,vino_tinto
17995,COTO DE IMAZ vino tinto reserva DO Rioja botella 75 cl,,8.5,11.33,l,2023-01-19,vino_tinto
17996,FEDERICO PATERNINA vino tinto 12 meses banda azul DO Rioja botella 75 cl,,4.99,6.65,l,2023-01-19,vino_tinto
17997,RUAVIEJA licor de crema de orujo botella 70 cl,alcoholicas,11.9,17.0,l,2023-01-19,destilados_licores
17998,ALTOS DE TAMARON vino tinto reserva DO Ribera de Duero botella 75 cl,,10.85,14.47,l,2023-01-19,vino_tinto
17999,TERRY Centenario brandy botella 1 lt,alcoholicas,9.49,9.49,l,2023-01-19,destilados_licores
18000,DIA GLADIADOR bebida espirituosa tipo brandy botella 1 lt,alcoholicas,6.39,6.39,l,2023-01-19,destilados_licores
18001,LAMBRUSCO FLAMINIA vino rosado botella 75 cl,alcoholicas,2.99,3.99,l,2023-01-19,destilados_licores
18002,"BOMBAY Sapphire ginebra botella 70 cl
",alcoholicas,19.95,28.5,l,2023-01-19,destilados_licores
18003,RUEDA CUNE vino blanco verdejo botella 75 cl,,5.6,7.47,l,2023-01-19,vino_blanco
18004,EL COTO vino blanco rioja botella 75 cl,,4.15,5.53,l,2023-01-19,vino_blanco
18005,BURNED BARREL whisky botella 70 cl,alcoholicas,5.59,7.99,l,2023-01-19,destilados_licores
18006,MARQUES DE CACERES vino tinto reserva DO rioja botella 75 cl,,11.85,15.8,l,2023-01-19,vino_tinto
18007,RAMON BILBAO vino tinto crianza DO Rioja botella 75 cl ,,9.75,13.0,l,2023-01-19,vino_tinto
18008,PROTOS CRIANZA vino tinto crianza DO Ribera del Duero botella 75 cl,,17.55,23.4,l,2023-01-19,vino_tinto
18009,PATA NEGRA vino tinto roble DO Ribera del Duero botella 75 cl,,6.99,9.32,l,2023-01-19,vino_tinto
18010,LEGARIS vino tinto roble DO Ribera de Duero botella 75 cl,,8.45,11.27,l,2023-01-19,vino_tinto
18011,AZPILICUETA vino tinto crianza DO Rioja botella 75 cl,,8.79,11.72,l,2023-01-19,vino_tinto
18012,MAGNO brandy de jerez solera reserva botella 70 cl,alcoholicas,11.5,16.43,l,2023-01-19,destilados_licores
18013,JOHNNIE WALKER whisky red label botella 70 cl,alcoholicas,13.99,19.99,l,2023-01-19,destilados_licores
18014,VEGA DEL BARÓN vino blanco verdejo viura DO Rueda botella 75 cl,,2.05,2.73,l,2023-01-19,vino_blanco
18015,VIÑAS DEL VERO vino tinto D.O. somontano botella 75cl,,5.7,7.6,l,2023-01-19,vino_tinto
18016,SMIRNOFF vodka botella 70 cl,alcoholicas,9.99,14.27,l,2023-01-19,destilados_licores
18017,PUERTA DE ALCALÁ vino tinto crianza DO Madrid botella 75 cl,,4.29,5.72,l,2023-01-19,vino_tinto
18018,FREIXENET cava brut cordon negro botella 75 cl,alcoholicas,6.99,9.32,l,2023-01-19,destilados_licores
18019,TANQUERAY ginebra london dry botella 70 cl,alcoholicas,14.99,21.41,l,2023-01-19,destilados_licores
18020,CASTILLO DE VELASCO vino tinto envase 1 lt,alcoholicas,1.1,1.1,l,2023-01-19,sangrias
18021,CASTILLO DE VELASCO vino blanco envase 1 lt,alcoholicas,1.1,1.1,l,2023-01-19,sangrias
18022,JAUME SERRA cava brut nature botella 75 cl,alcoholicas,3.35,4.47,l,2023-01-19,destilados_licores
18023,DON SIMON vino blanco envase 1 lt,alcoholicas,1.6,1.6,l,2023-01-19,sangrias
