,insert_date,name,avg_price,avg_reference_price,supermarket,reference_unit,subcategoria,category
8796,2021-03,Chuletas lomo de cerdo,3.8007692307692307,4.223076923076923,mercadona-es,kg,cerdo,carniceria
8797,2021-03,Chuletón de vacuno añojo,7.430000000000001,13.5,mercadona-es,kg,vacuno,carniceria
8798,2021-03,Churrasco de vacuno añojo,3.45,6.9,mercadona-es,kg,vacuno,carniceria
8799,2021-03,Cigala cruda mediana Hacendado ultracongelada,9.5,19.0,mercadona-es,kg,marisco,pescaderia
8800,2021-03,Cilantro,1.15,57.5,mercadona-es,kg,vegetales,verduleria
8801,2021-03,Coco troceado,1.69,14.08,mercadona-es,kg,fruta,verduleria
8802,2021-03,Codillo de cerdo,1.5799999999999998,3.3,mercadona-es,kg,cerdo,carniceria
8803,2021-03,Codillo de cerdo semicocido al estilo Alemán,4.4,4.0,mercadona-es,kg,cerdo,carniceria
8804,2021-03,Codillo de jamón entero Incarlopsa,1.79,1.99,mercadona-es,kg,embutidos,carniceria
8805,2021-03,Codornices,2.95,8.430769230769231,mercadona-es,kg,aves,carniceria
8806,2021-03,Codornices abiertas,2.677692307692308,8.930769230769231,mercadona-es,kg,aves,carniceria
8807,2021-03,Col lombarda,2.059230769230769,1.2,mercadona-es,kg,vegetales,verduleria
8808,2021-03,Colas de gambón peladas Hacendado ultracongeladas,5.5,22.0,mercadona-es,kg,marisco,pescaderia
8809,2021-03,Coliflor,2.168846153846154,1.8900000000000001,mercadona-es,kg,vegetales,verduleria
8810,2021-03,Compango asturiano,2.35,9.4,mercadona-es,kg,embutidos,carniceria
8811,2021-03,Conejo entero,7.74,5.950000000000001,mercadona-es,kg,conejo_cordero,carniceria
8812,2021-03,Conejo entero troceado,8.31,6.39,mercadona-es,kg,conejo_cordero,carniceria
8813,2021-03,Contramuslos de pavo sin piel,2.88,5.75,mercadona-es,kg,aves,carniceria
8814,2021-03,Contramuslos de pollo deshuesados y sin piel,3.4699999999999998,6.299999999999999,mercadona-es,kg,aves,carniceria
8815,2021-03,Contramuslos de pollo marinados con piel,3.39,5.65,mercadona-es,kg,aves,carniceria
8816,2021-03,Contramuslos de pollo rural deshuesados y sin piel,4.04,7.35,mercadona-es,kg,aves,carniceria
8817,2021-03,Contramuslos de pollo sin piel,3.26,3.62,mercadona-es,kg,aves,carniceria
8818,2021-03,Cordero al tajo,9.45,10.5,mercadona-es,kg,conejo_cordero,carniceria
8819,2021-03,Corvina a filetes sin cabeza y sin espina,9.603461538461538,7.950000000000001,mercadona-es,kg,pescado,pescaderia
8820,2021-03,Corvina abierta a la espalda con espinas y con cabeza,9.603461538461538,7.950000000000001,mercadona-es,kg,pescado,pescaderia
8821,2021-03,Corvina limpia con cabeza,9.603461538461538,7.950000000000001,mercadona-es,kg,pescado,pescaderia
8822,2021-03,Costilla de cerdo a tiras,4.156923076923078,5.1984615384615385,mercadona-es,kg,cerdo,carniceria
8823,2021-03,Costilla de cerdo carnosa,3.5,5.0,mercadona-es,kg,cerdo,carniceria
8824,2021-03,Costilla de cerdo churrasco,4.853461538461539,4.853461538461539,mercadona-es,kg,cerdo,carniceria
8825,2021-03,Costilla de cerdo ibérico adobada,2.34,3.8999999999999995,mercadona-es,kg,cerdo,carniceria
8826,2021-03,Costilla de vacuno,1.35,5.4,mercadona-es,kg,embutidos,carniceria
8827,2021-03,Costillas de cerdo carnosas a tacos,3.07,5.799999999999999,mercadona-es,kg,cerdo,carniceria
8828,2021-03,Crema para untar fiambre de jamón york Hacendado sabor ahumado,1.1,6.88,mercadona-es,kg,embutidos,carniceria
8829,2021-03,Croquetas de cocido Hacendado ultracongeladas,1.5,4.29,mercadona-es,kg,elaborados,carniceria
8830,2021-03,Croquetas de pollo,3.2,9.55,mercadona-es,kg,elaborados,carniceria
8831,2021-03,Croquetas de pollo Hacendado ultracongeladas,0.99,1.98,mercadona-es,kg,elaborados,carniceria
8832,2021-03,Cuartos traseros de pollo,2.5138461538461536,3.1423076923076922,mercadona-es,kg,aves,carniceria
8833,2021-03,Cuartos traseros de pollo rural,4.046923076923077,4.496153846153846,mercadona-es,kg,aves,carniceria
8834,2021-03,Cuartos traseros familiar de pollo,3.8276923076923075,2.3923076923076922,mercadona-es,kg,aves,carniceria
