,name,category,price,reference_price,reference_unit,insert_date,subcategoria
0,COCA-COLA zero pack 12 latas 33 cl,bebidas,9.99,2.52,l,2023-01-30,refrescos
1,COCA-COLA clásica pack 12 latas 33 cl,bebidas,9.99,2.52,l,2023-01-30,refrescos
2,FANTA naranja pack 9 latas 33 cl,bebidas,6.49,2.19,l,2023-01-30,refrescos
3,CUMBRES DE GREDOS vino tinto envase 1 lt,alcoholicas,1.69,1.69,l,2023-01-30,sangrias
4,SIGNAL pasta dentífrica protección anticaries tubo 75 ml,cuidado_higiene_personal,1.99,26.53,l,2023-01-30,bucal
5,NIVEA Creme crema hidratante universal todo tipo de pieles lata 250 ml,cuidado_higiene_personal,3.99,15.96,l,2023-01-30,corporal
6,DONUTS bombón estuche 4 uds 200 gr,desayunos,2.99,14.95,Kg,2023-01-30,bolleria
7,LA COCINERA empanadillas de atún caja 312 gr,congelados,4.99,15.99,Kg,2023-01-30,precocinados_cong
8,J&B whisky botella 70 cl,alcoholicas,13.49,19.27,l,2023-01-30,destilados_licores
9,YBARRA salsa cocktail frasco 225 ml,despensa,1.59,7.07,l,2023-01-30,salsas
10,Pepino holandés pieza (390 gr aprox.),verduleria,0.95,2.92,Kg,2023-01-30,fruta
11,"HERO Baby verduritas con pollo y ternera tarrito 235 gr
",bebe,2.05,8.72,Kg,2023-01-30,alimentacion
12,HERO Baby crema de bechamel con lenguado tarrito 235 gr,bebe,2.05,8.72,Kg,2023-01-30,alimentacion
13,OSCAR MAYER salchichas wieners envase 200 gr,carniceria,1.49,7.45,Kg,2023-01-30,embutidos
14,DIA ambientador neutralizador aroma lavanda spray 300 ml,cuidado_higiene_hogar,1.17,3.9,l,2023-01-30,ambientadores_insecticidas
15,DIA AL DIANTE pasta de tiburones paquete 500 gr,despensa,0.83,1.66,Kg,2023-01-30,pastas
16,EL MOLINO DE DIA panecillo 100% integral paquete 225 gr,pan,0.89,3.96,Kg,2023-01-30,pan_tostado
17,CALVO mejillones en escabeche 14/19 piezas lata 69  grs,despensa,2.19,31.74,Kg,2023-01-30,conservas
18,DIA CAFETERÍA café molido natural descafeinado paquete 250 gr,desayunos,1.9,7.6,Kg,2023-01-30,cafe
19,DIA CAFETERÍA café molido mezcla descafeinado paquete 250 gr,desayunos,1.9,7.6,Kg,2023-01-30,cafe
20,ROYAL caramelo líquido 400 gr,huevos_lacteos_derivados,2.99,7.48,Kg,2023-01-30,postres
21,SEVEN UP lata 33 cl,bebidas,0.59,1.79,l,2023-01-30,refrescos
22,DIA VEGECAMPO tomate frito pack 3 unidades 215 gr ,despensa,1.3,2.02,Kg,2023-01-30,salsas
23,DIA VEGECAMPO garbanzos cocidos extra frasco 400 gr,despensa,0.95,2.38,Kg,2023-01-30,legumbres
24,DIA VEGECAMPO alubias blancas extra frasco 400 gr,despensa,0.75,1.88,Kg,2023-01-30,legumbres
25,DIA VEGECAMPO maíz dulce lata 285 gr,despensa,0.95,3.33,Kg,2023-01-30,conservas
26,DIA batido de chocolate botella 1 lt,huevos_lacteos_derivados,1.15,1.15,l,2023-01-30,leche
27,DIA VEGECAMPO canela molida frasco 38 gr,despensa,0.69,18.16,Kg,2023-01-30,especias
28,DIA colorante alimentario frasco 60 gr,despensa,0.75,12.5,Kg,2023-01-30,especias
29,DIA VEGECAMPO champiñones enteros lata 185 gr,despensa,1.35,7.3,Kg,2023-01-30,conservas
30,OSCAR MAYER salchichas jumbo classic envase 350 gr,carniceria,2.65,7.57,Kg,2023-01-30,embutidos
31,UBAGO melva en aceite de oliva lata 85  gr,despensa,2.55,30.0,Kg,2023-01-30,conservas
32,Lomo adobado al horno bandeja 330 gr ,carniceria,3.09,9.36,Kg,2023-01-30,cerdo
33,DIA VEGECAMPO menestra de verduras bolsa 1 kg,congelados,1.34,1.34,Kg,2023-01-30,vegetales_cong
34,DIA AL PUNTO mini empanadillas de atún bolsa 400 gr,congelados,1.55,3.88,Kg,2023-01-30,precocinados_cong
35,GALLINA BLANCA sopa de verduras sobre 51 gr,precocinados,0.75,14.71,Kg,2023-01-30,precocinados
36,GALLINA BLANCA tallarines carbonara sobre 144 gr,despensa,2.09,14.62,Kg,2023-01-30,pastas
37,GALLINA BLANCA tallarines parmesana sobre 145 gr,despensa,2.09,14.62,Kg,2023-01-30,pastas
38,NATIVA leche crecimiento original +12 meses envase 1 lt ,bebe,1.89,1.89,l,2023-01-30,alimentacion
