,name,category,price,reference_price,reference_unit,insert_date,subcategoria
0,COCA-COLA zero pack 12 latas 33 cl,bebidas,9.84,2.48,l,2023-02-04,refrescos
1,COCA-COLA clásica pack 12 latas 33 cl,bebidas,9.84,2.48,l,2023-02-04,refrescos
2,FANTA naranja pack 9 latas 33 cl,bebidas,6.03,2.03,l,2023-02-04,refrescos
3,CUMBRES DE GREDOS vino tinto envase 1 lt,alcoholicas,1.6,1.6,l,2023-02-04,sangrias
4,SIGNAL pasta dentífrica protección anticaries tubo 75 ml,cuidado_higiene_personal,1.99,26.53,l,2023-02-04,bucal
5,NIVEA Creme crema hidratante universal todo tipo de pieles lata 250 ml,cuidado_higiene_personal,3.79,15.16,l,2023-02-04,corporal
6,DONUTS bombón estuche 4 uds 200 gr,desayunos,2.99,14.95,Kg,2023-02-04,bolleria
7,LA COCINERA empanadillas de atún caja 312 gr,congelados,4.99,15.99,Kg,2023-02-04,precocinados_cong
8,J&B whisky botella 70 cl,alcoholicas,12.99,18.56,l,2023-02-04,destilados_licores
9,YBARRA salsa cocktail frasco 225 ml,despensa,1.55,6.89,l,2023-02-04,salsas
10,Pepino holandés pieza (390 gr aprox.),verduleria,0.95,2.92,Kg,2023-02-04,fruta
11,"HERO Baby verduritas con pollo y ternera tarrito 235 gr
",bebe,1.99,8.47,Kg,2023-02-04,alimentacion
12,HERO Baby crema de bechamel con lenguado tarrito 235 gr,bebe,1.99,8.47,Kg,2023-02-04,alimentacion
13,OSCAR MAYER salchichas wieners envase 200 gr,carniceria,1.35,6.75,Kg,2023-02-04,embutidos
14,DIA ambientador neutralizador aroma lavanda spray 300 ml,cuidado_higiene_hogar,1.17,3.9,l,2023-02-04,ambientadores_insecticidas
15,DIA AL DIANTE pasta de tiburones paquete 500 gr,despensa,0.81,1.62,Kg,2023-02-04,pastas
16,EL MOLINO DE DIA panecillo 100% integral paquete 225 gr,pan,0.85,3.78,Kg,2023-02-04,pan_tostado
17,CALVO mejillones en escabeche 14/19 piezas lata 69  grs,despensa,2.15,31.16,Kg,2023-02-04,conservas
18,DIA CAFETERÍA café molido natural descafeinado paquete 250 gr,desayunos,1.85,7.4,Kg,2023-02-04,cafe
19,DIA CAFETERÍA café molido mezcla descafeinado paquete 250 gr,desayunos,1.85,7.4,Kg,2023-02-04,cafe
20,ROYAL caramelo líquido 400 gr,huevos_lacteos_derivados,2.9,7.25,Kg,2023-02-04,postres
21,SEVEN UP lata 33 cl,bebidas,0.55,1.67,l,2023-02-04,refrescos
22,DIA VEGECAMPO tomate frito pack 3 unidades 215 gr ,despensa,1.3,2.02,Kg,2023-02-04,salsas
23,DIA VEGECAMPO garbanzos cocidos extra frasco 400 gr,despensa,0.95,2.38,Kg,2023-02-04,legumbres
24,DIA VEGECAMPO alubias blancas extra frasco 400 gr,despensa,0.75,1.88,Kg,2023-02-04,legumbres
25,DIA VEGECAMPO maíz dulce lata 285 gr,despensa,0.95,3.33,Kg,2023-02-04,conservas
26,DIA batido de chocolate botella 1 lt,huevos_lacteos_derivados,1.09,1.09,l,2023-02-04,leche
27,DIA VEGECAMPO canela molida frasco 38 gr,despensa,0.65,17.11,Kg,2023-02-04,especias
28,DIA colorante alimentario frasco 60 gr,despensa,0.69,11.5,Kg,2023-02-04,especias
29,DIA VEGECAMPO champiñones enteros lata 185 gr,despensa,1.29,6.97,Kg,2023-02-04,conservas
30,OSCAR MAYER salchichas jumbo classic envase 350 gr,carniceria,2.45,7.0,Kg,2023-02-04,embutidos
31,UBAGO melva en aceite de oliva lata 85  gr,despensa,2.49,29.29,Kg,2023-02-04,conservas
32,Lomo adobado al horno bandeja 330 gr ,carniceria,2.99,9.06,Kg,2023-02-04,cerdo
